127.0.0.1 - - [01/Nov/2022:12:52:37 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [01/Nov/2022:12:52:51 +0530] "GET /ServiceProvider/ HTTP/1.1" 200 27849
0:0:0:0:0:0:0:1 - - [01/Nov/2022:12:52:51 +0530] "GET /ServiceProvider/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2022:12:52:51 +0530] "GET /ServiceProvider/jquery-ui.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2022:12:52:51 +0530] "GET /ServiceProvider/tt_slideshow.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2022:12:52:51 +0530] "GET /ServiceProvider/totop.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2022:12:52:51 +0530] "GET /ServiceProvider/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2022:12:52:51 +0530] "GET /ServiceProvider/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2022:12:52:51 +0530] "GET /ServiceProvider/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2022:12:52:51 +0530] "GET /ServiceProvider/images/72.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2022:12:52:51 +0530] "GET /ServiceProvider/images/74.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2022:12:52:51 +0530] "GET /ServiceProvider/images/73.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2022:12:52:51 +0530] "GET /ServiceProvider/images/HomeDesktopSlide0.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2022:12:52:51 +0530] "GET /ServiceProvider/images/HomeDesktopSlide1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2022:12:52:51 +0530] "GET /ServiceProvider/images/HomeDesktopSlide2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2022:12:52:51 +0530] "GET /ServiceProvider/Fonts/Roboto/regular.ttf HTTP/1.1" 304 -
